Tí,Điền Trạch,94
Sửu,Quan Lộc,84
Dần,Nô Bộc,74
Mão,Thiên Di,64
Thìn,Tật Ách,54
Tỵ,Tài Bạch,44
Ngọ,Tử Tức,34
Mùi,Phu Thê,24
Thân,Huynh Đệ,14
Dậu,Mệnh,4
Tuất,Phụ Mẫu,114
Hợi,Phúc Đức,104
